taxid	organism_name
301207	Macroventuria anomochaeta
303699	Penicillium macrosclerotiorum
306901	Chaetomium globosum CBS 148.51
318751	Westerdykella ornata
321614	Parastagonospora nodorum SN15
322104	Scheffersomyces stipitis CBS 6054
326644	Daldinia caldariorum
326645	Daldinia childiae
326647	Daldinia decipiens
326681	Hypoxylon trugodes
326684	Xylaria bambusicola
327061	Annulohypoxylon truncatum
330879	Aspergillus fumigatus Af293
331117	Aspergillus fischeri NRRL 181
332648	Botrytis cinerea B05.10
334819	Fusarium verticillioides 7600
335848	Apiospora aurea
335849	Apiospora marii
336722	Zymoseptoria tritici IPO323
336963	Uncinocarpus reesii 1704
341663	Aspergillus terreus NIH2624
342668	Pseudogymnoascus verrucosus
344612	Aspergillus clavatus NRRL 1
348802	Exophiala xenobiotica
359342	Colletotrichum phormii
367110	Neurospora crassa OR74A
367775	Cryptococcus gattii WM276
378194	Epithele typhae
383834	Lipomyces doorenjongii
383855	Pseudocercospora fijiensis CIRAD86
390896	Trematosphaeria pertusa
398673	Trichoderma gamsii
402676	Schizosaccharomyces japonicus yFS275
413071	Trichoderma virens Gv29-8
416450	Penicillium antarcticum
418459	Puccinia graminis f. sp. tritici CRL 75-36-700-3
418784	Candidozyma pseudohaemuli
419775	Durotheca rogersii
420778	Diplodia seriata
425265	Malassezia globosa CBS 7966
426428	Fusarium oxysporum f. sp. lycopersici 4287
430562	Alternaria novae-zelandiae
431241	Trichoderma reesei QM6a
436907	Vanderwaltozyma polyspora DSM 70294
441959	Talaromyces stipitatus ATCC 10500
443226	Coccidioides posadasii str. Silveira
447093	Histoplasma capsulatum G186AR
456999	Rhizoctonia solani
460523	Ogataea polymorpha
470096	Pseudovirgaria hyperparasitica
474922	Colletotrichum gloeosporioides
483514	Schizosaccharomyces octosporus yFS286
486041	Laccaria bicolor S238N-H82
497107	Candida oxycetoniae
497108	Candida jiufengensis
497109	Candida pseudojiufengensis
498019	Candidozyma auris
498257	Verticillium dahliae VdLs.17
500148	Metarhizium brunneum
502779	Paracoccidioides lutzii Pb01
502780	Paracoccidioides brasiliensis Pb18
510516	Aspergillus oryzae RIB40
510951	Neurospora tetrasperma FGSC 2508
515849	Podospora anserina S mat+
526221	Verticillium alfalfae VaMs.102
535722	Nannizzia gypsea CBS 118893
554155	Microsporum canis CBS 113480
559292	Saccharomyces cerevisiae S288C
559295	Lachancea thermotolerans CBS 6340
559297	Blastomyces dermatitidis ER-3
559298	Blastomyces gilchristii SLH14081
559305	Trichophyton rubrum CBS 118892
560253	Letharia lupina
561895	[Candida] subhashii
563466	Scedosporium apiospermum
564305	Kwoniella shivajii
566460	Alternaria viburni
569365	Cladophialophora immunda
573729	Thermothelomyces thermophilus ATCC 42464
573826	Candida dubliniensis CD36
574656	Recurvomyces mirabilis
574789	Mytilinidion resinicola
578455	Thermothielavioides terrestris NRRL 8126
578456	Tremella mesenterica DSM 1558
578457	Serpula lacrymans var. lacrymans S7.9
578458	Schizophyllum commune H4-8
578459	Rhodotorula graminis WP1
588596	Rhizophagus irregularis
588809	Neurospora hispaniola
591952	Sodiomyces alcalophilus JCM 7366
595635	Phyllosticta citriasiana
597362	Agaricus bisporus var. burnettii JB137-S8
599839	Fibroporia radiculosa
619300	Spathaspora passalidarum NRRL Y-27907
644223	Komagataella phaffii GS115
644352	Gaeumannomyces tritici R3-111a-1
645133	Colletotrichum graminicola M1.001
645134	Spizellomyces punctatus DAOM BR117
650164	Phanerochaete carnosa HHB-10118-sp
653667	Schizosaccharomyces cryophilus OY26
655819	Beauveria bassiana ARSEF 2860
655844	Metarhizium robertsii ARSEF 23
655863	Grosmannia clavigera kw1407
655981	Pseudogymnoascus destructans
660027	Fusarium oxysporum Fo47
660122	Fusarium vanettenii 77-13-4
660469	Cryphonectria parasitica EP155
663202	Trichophyton verrucosum HKI 0517
663331	Trichophyton benhamiae CBS 112371
665079	Sclerotinia sclerotiorum 1980 UF-70
665912	Bipolaris sorokiniana ND90Pr
670483	Gloeophyllum trabeum ATCC 11539
670580	Postia placenta MAD-698-R-SB12
671144	Wallemia mellicola CBS 633.66
671987	Exserohilum turcica Et28A
673940	Lindgomyces ingoldianus
681940	Colletotrichum navitas
683960	Wickerhamomyces anomalus NRRL Y-366-8
684364	Batrachochytrium dendrobatidis JAM81
688661	Lichtheimia ornata
690259	Colletotrichum siamense
690307	Aspergillus aculeatus ATCC 16872
692275	Sphaerulina musiva SO2202
694068	Fomitiporia mediterranea MF3/22
698441	Drepanopeziza brunnea f. sp. 'multigermtubi'
698492	Saitoella complicata NRRL Y-17804
700344	Colletotrichum spaethianum
708070	Mucor velutinosus
710243	Colletotrichum fioriniae
717646	Baudoinia panamericana UAMH 10762
717944	Trametes versicolor FP-101664 SS1
721885	Stereum hirsutum FP-91666 SS1
732165	Dichomitus squalens LYAD-421 SS1
741275	Punctularia strigosozonata HHB-11173 SS5
741705	Coniophora puteana RWD-64-598 SS2
747525	Heterobasidion irregulare TC 32-1
747676	Melampsora larici-populina 98AG31
748121	Diaporthe batatas
749465	Boeremia exigua
756982	Orbilia oligospora ATCC 24927
759272	Thermochaetoides thermophila DSM 1495
759273	Colletotrichum higginsianum IMI 349063
763406	Pichia membranifaciens NRRL Y-2026
763407	Phycomyces blakesleeanus NRRL 1555(-)
764103	Mixia osmundae IAM 14324
767769	Aspergillus brasiliensis CBS 101740
794803	Cenococcum geophilum 1.58
796027	Sugiyamaella lignohabitans
856822	Fonsecaea nubica
857342	Amorphotheca resinae ATCC 22711
858893	Exophiala dermatitidis NIH/UT8656
869754	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993
870730	Ogataea angusta
871575	Ogataea parapolymorpha DL-1
876142	Encephalitozoon intestinalis ATCC 50506
879819	Cutaneotrichosporon oleaginosum
881290	Nematocida parisii ERTm1
907965	Encephalitozoon hellem ATCC 50504
911321	Calcarisporiella thermophila
930089	Bipolaris zeicola 26-R-13
