group_taxid	group_name	kingdom	tax_phylum	tax_class	tax_order	tax_family	tax_genus	tax_species	taxonomy	n_blanks_present	mean_reads_blank	max_reads_blank	sum_reads_all_blanks	min_tier_blank	in_run28_blank	runs_present	prevalence	mean_reads_all_blanks	reads_run28	contamination_class	mean_rpm_blank	max_rpm_blank	std_rpm_blank	lot_batch_runs
134537	Paraburkholderia fungorum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia fungorum	Pseudomonadota|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Paraburkholderia|Paraburkholderia fungorum	6	52.166666666666664	100	313	1	false	22,29,30,31,32,33	0.3157894736842105	16.473684210526315	0	REAGENT	208.65155814477683	346.2759750265767	99.8903045119226	""
3122075	Ralstonia sp. RRA	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia sp. RRA	Pseudomonadota|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Ralstonia|Ralstonia sp. RRA	6	20.166666666666668	45	121	1	false	22,29,30,31,32,33	0.3157894736842105	6.368421052631579	0	REAGENT	79.97536863331122	155.8241887619595	45.22541904602178	""
80866	Delftia acidovorans	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia acidovorans	Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae|Delftia|Delftia acidovorans	6	18.833333333333332	32	113	1	true	27,28,29,30,31,33	0.3157894736842105	5.947368421052631	32	REAGENT	75.96802288811837	151.86677487174376	46.07459532081684	""
863372	Herbaspirillum huttiense	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum huttiense	Pseudomonadota|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Herbaspirillum|Herbaspirillum huttiense	6	15.5	61	93	1	false	22,23,29,30,31,33	0.3157894736842105	4.894736842105263	0	REAGENT	182.32892916376406	749.7173196991298	299.454841249863	""
40214	Acinetobacter johnsonii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	Pseudomonadota|Gammaproteobacteria|Moraxellales|Moraxellaceae|Acinetobacter|Acinetobacter johnsonii	6	7.166666666666667	20	43	1	false	17,23,24,25,29,33	0.3157894736842105	2.263157894736842	0	REAGENT	54.95244092248182	160.84799060647734	55.93632188193765	""
570	Klebsiella	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	""	Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella	6	3.6666666666666665	5	22	2	false	13,15,21,22,29,31	0.3157894736842105	1.1578947368421053	0	REAGENT	34.26270206602459	70.79445537825477	22.914708548385175	""
33011	Cutibacterium granulosum	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium granulosum	Actinomycetota|Actinomycetes|Propionibacteriales|Propionibacteriaceae|Cutibacterium|Cutibacterium granulosum	6	3.5	6	21	1	true	17,18,20,25,28,30	0.3157894736842105	1.1052631578947367	3	REAGENT	32.19060638133087	105.09353324458768	37.47292845382083	""
488447	Burkholderia contaminans	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia contaminans	Pseudomonadota|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia contaminans	5	1572.4	3558	7862	1	false	29,30,31,32,33	0.2631578947368421	413.7894736842105	0	REAGENT	6043.764592549384	12320.499191445597	3541.6360943685136	29,30,31,32,33
32008	Burkholderia	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	""	Pseudomonadota|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia	5	1455.8	3270	7279	1	false	29,30,31,32,33	0.2631578947368421	383.10526315789474	0	REAGENT	5599.775224683629	11323.224383369057	3211.7773698910237	29,30,31,32,33
1270	Micrococcus luteus	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus luteus	Actinomycetota|Actinomycetes|Micrococcales|Micrococcaceae|Micrococcus|Micrococcus luteus	5	195.0	492	975	1	false	20,22,23,26,33	0.2631578947368421	51.315789473684205	0	REAGENT	2766.7556105608073	7966.9662375516145	3831.134937025777	""
